日期,总资产,总现金,可用现金,持仓市值,基准_000300.SH
2024-07-02,50000,50000,50000,0,3478.18
2024-07-03,50000,50000,50000,0,3471.79
2024-07-04,50000,50000,50000,0,3463.41
2024-07-05,50000,50000,50000,0,3445.81
2024-07-08,50000,50000,50000,0,3431.06
2024-07-09,50000,50000,50000,0,3401.76
2024-07-10,50000,50000,50000,0,3439.81
2024-07-11,50000,50000,50000,0,3428.96
2024-07-12,50000,50000,50000,0,3468.17
2024-07-15,50000,50000,50000,0,3472.4
2024-07-16,50000,50000,50000,0,3476.25
2024-07-17,50000,50000,50000,0,3498.28
2024-07-18,50000,50000,50000,0,3501.58
2024-07-19,50000,50000,50000,0,3520.93
2024-07-22,50000,50000,50000,0,3539.02
2024-07-23,50000,50000,50000,0,3514.92
2024-07-24,50000,50000,50000,0,3439.88
2024-07-25,50000,50000,50000,0,3418.17
2024-07-26,50000,50000,50000,0,3399.27
2024-07-29,50000,50000,50000,0,3409.29
2024-07-30,50000,50000,50000,0,3390.74
2024-07-31,50000,50000,50000,0,3369.38
2024-08-01,50000,50000,50000,0,3442.08
2024-08-02,50000,50000,50000,0,3419.27
2024-08-05,50000,50000,50000,0,3384.39
2024-08-06,50000,50000,50000,0,3343.32
2024-08-07,50000,50000,50000,0,3342.98
2024-08-08,50000,50000,50000,0,3341.49
2024-08-09,50000,50000,50000,0,3342.94
2024-08-12,50000,50000,50000,0,3331.63
2024-08-13,50000,50000,50000,0,3325.86
2024-08-14,50000,50000,50000,0,3334.39
2024-08-15,50000,50000,50000,0,3309.24
2024-08-16,50000,50000,50000,0,3341.95
2024-08-19,50000,50000,50000,0,3345.63
2024-08-20,50000,50000,50000,0,3356.97
2024-08-21,50000,50000,50000,0,3332.7
2024-08-22,50000,50000,50000,0,3321.64
2024-08-23,50000,50000,50000,0,3313.14
2024-08-26,50000,50000,50000,0,3327.19
2024-08-27,50000,50000,50000,0,3324.22
2024-08-28,50000,50000,50000,0,3305.33
2024-08-29,50000,50000,50000,0,3286.5
2024-08-30,50000,50000,50000,0,3277.68
2024-09-02,50000,50000,50000,0,3321.43
2024-09-03,50000,50000,50000,0,3265.01
2024-09-04,50000,50000,50000,0,3273.43
2024-09-05,50000,50000,50000,0,3252.17
2024-09-06,50000,50000,50000,0,3257.76
2024-09-09,50000,50000,50000,0,3231.35
2024-09-10,50000,50000,50000,0,3192.95
2024-09-11,50000,50000,50000,0,3195.76
2024-09-12,50000,50000,50000,0,3186.13
2024-09-13,50000,50000,50000,0,3172.48
2024-09-18,50000,50000,50000,0,3159.25
2024-09-19,50000,50000,50000,0,3171.01
2024-09-20,50000,50000,50000,0,3196.04
2024-09-23,50000,50000,50000,0,3201.05
2024-09-24,50000,50000,50000,0,3212.76
2024-09-25,50000,50000,50000,0,3351.91
2024-09-26,50000,50000,50000,0,3401.53
2024-09-27,50000,50000,50000,0,3545.32
2024-09-30,50000,50000,50000,0,3703.68
2024-10-08,50000,50000,50000,0,4017.86
2024-10-09,50000,50000,50000,0,4256.1
2024-10-10,50000,50000,50000,0,3955.98
2024-10-11,50000,50000,50000,0,3997.79
2024-10-14,50000,50000,50000,0,3887.17
2024-10-15,50000,50000,50000,0,3961.34
2024-10-16,50000,50000,50000,0,3856.0
2024-10-17,50000,50000,50000,0,3831.59
2024-10-18,50000,50000,50000,0,3788.22
2024-10-21,50000,50000,50000,0,3925.23
2024-10-22,50000,50000,50000,0,3935.2
2024-10-23,50000,50000,50000,0,3957.78
2024-10-24,50000,50000,50000,0,3973.21
2024-10-25,50000,50000,50000,0,3928.83
2024-10-28,50000,50000,50000,0,3956.42
2024-10-29,50000,50000,50000,0,3964.16
2024-10-30,50000,50000,50000,0,3924.65
2024-10-31,50000,50000,50000,0,3889.45
2024-11-01,50000,50000,50000,0,3891.04
2024-11-04,50000,50000,50000,0,3890.02
2024-11-05,50000,50000,50000,0,3944.76
2024-11-06,50000,50000,50000,0,4044.57
2024-11-07,50000,50000,50000,0,4024.28
2024-11-08,50000,50000,50000,0,4145.7
2024-11-11,50000,50000,50000,0,4104.05
2024-11-12,50000,50000,50000,0,4131.13
2024-11-13,50000,50000,50000,0,4085.74
2024-11-14,50000,50000,50000,0,4110.89
